"Country","Landscape..","Household.ID","Round","Good_Soil","Bad_Soil","erosion_control"
"RWA","L06","jQRmJu3n453","2",1,0,TRUE
"RWA","L06","JYjBoTCdte4","1",0.333333333333333,0,TRUE
"RWA","L06","JYjBoTCdte4","2",1,0,TRUE
"RWA","L06","kKLu4qgLM62","1",0,0,TRUE
"RWA","L06","kKLu4qgLM62","2",0,0,TRUE
"RWA","L06","kxErk1sYmQB","1",0.2,0,TRUE
"RWA","L06","kxErk1sYmQB","2",0,0,TRUE
"RWA","L06","Lka6n6s87G","1",0.333333333333333,0,TRUE
"RWA","L06","Lka6n6s87G","2",1,0,TRUE
"RWA","L06","nny1kAHD1A6","1",0,0,FALSE
"RWA","L06","nny1kAHD1A6","2",0,1,FALSE
"RWA","L06","NpBRQomLNX3","1",0,0.75,TRUE
"RWA","L06","NpBRQomLNX3","2",0,0,TRUE
"RWA","L06","NpVRwZSF9A9","1",0.5,0.25,TRUE
"RWA","L06","NpVRwZSF9A9","2",0,0,TRUE
"RWA","L06","PGN47oqwcT6","1",0.333333333333333,0,FALSE
"RWA","L06","PGN47oqwcT6","2",1,0,TRUE
"RWA","L06","pYrS9Lnoio5","1",1,0,TRUE
"RWA","L06","pYrS9Lnoio5","2",1,0,TRUE
"RWA","L06","QLDaeeq1A6A","1",0,0,TRUE
"RWA","L06","QLDaeeq1A6A","2",1,0,TRUE
"RWA","L06","R5nJaf2Sop9","1",0,1,TRUE
"RWA","L06","R5nJaf2Sop9","2",0,1,FALSE
"RWA","L06","R9DTr4peJNA","1",1,0,TRUE
"RWA","L06","to8Gc5JzaT7","1",1,0,TRUE
"RWA","L06","to8Gc5JzaT7","2",1,0,TRUE
"RWA","L06","vdieyWj8obA","1",1,0,TRUE
"RWA","L06","vdieyWj8obA","2",1,0,TRUE
"RWA","L06","XZQvXo5qT34","1",0,1,FALSE
"RWA","L06","XZQvXo5qT34","2",1,0,TRUE
"RWA","L06","yaHQ7ni6ar4","1",0,0,TRUE
"RWA","L06","YVG8nKF7bC4","1",0.6,0,TRUE
"RWA","L06","YVG8nKF7bC4","2",1,0,TRUE
"RWA","L07","1tDK7dEA7q4","1",0,0,TRUE
"RWA","L07","3aT11RTk4H8","1",1,0,TRUE
"RWA","L07","5FTsNB6cw66","1",0,0,TRUE
"RWA","L07","8LgQmjxaed7","1",0,0,TRUE
"RWA","L07","8QSNRiJbU45","1",0,0,FALSE
"RWA","L07","8rMnuSjsKfA","1",0.5,0.5,FALSE
"RWA","L07","9s7aPD8ZRh7","1",1,0,TRUE
"RWA","L07","9yvw1XWDNpA","1",0.333333333333333,0,FALSE
"RWA","L07","ah2mXHfB7w4","1",1,0,FALSE
"RWA","L07","C3b2zHKsNU3","1",1,0,FALSE
"RWA","L07","C56aeDFWPa7","1",1,0,TRUE
"RWA","L07","CnrK9APvaT4","1",0,0,TRUE
"RWA","L07","cQsxahQ8sm8","1",0,1,TRUE
"RWA","L07","EhXFcHgzLr8","1",1,0,TRUE
"RWA","L07","j3meptUjcsA","1",0,0,TRUE
"RWA","L07","Kg7uwpdD4P5","1",0,0,FALSE
"RWA","L07","mE3oDzqBqu4","1",0.666666666666667,0,TRUE
"RWA","L07","MScBRdzkSi4","1",1,0,FALSE
"RWA","L07","nkZFomM6JN2","1",0,0,FALSE
"RWA","L07","NqznyHy6N16","1",0.5,0,TRUE
"RWA","L07","ob6Go1epkY4","1",0,1,TRUE
"RWA","L07","sohyYFGAMr9","1",0.333333333333333,0,FALSE
"RWA","L07","tU6yMt3dHA3","1",0,0.5,FALSE
"RWA","L07","tuxCwfbZQN9","1",1,0,TRUE
"RWA","L07","TYoYR9fk5v3","1",0,0.25,FALSE
"RWA","L07","vC1xGx4WFW","1",1,0,TRUE
"RWA","L07","Wj18gYU55E5","1",1,0,TRUE
"RWA","L07","WVpeXYVGNq8","1",1,0,TRUE
"RWA","L07","yyXhtLq72C2","1",1,0,TRUE
"RWA","L07","zywmeprmCJ6","1",1,0,TRUE
"TZA","L03","41YTq8opiW8","1",0,0,FALSE
"TZA","L03","5R7zjWiS4o","1",0,0,FALSE
"TZA","L03","8RDtceCXmi7","1",0,0,FALSE
"TZA","L03","9WWgnSHHAA6","1",0.5,0,FALSE
"TZA","L03","dFX9VzkXhCA","1",0,0,FALSE
"TZA","L03","e7KZhetzbx","1",0,0,FALSE
"TZA","L03","Goj6tydZtp2","1",0,0,FALSE
"TZA","L03","hfEUg9n1AW4","1",0,0,FALSE
"TZA","L03","hwqvpwm7Wz7","1",1,0,FALSE
"TZA","L03","j18hwWBcwh5","1",0,0,FALSE
"TZA","L03","JdnGCqPhcWB","1",0.333333333333333,0,FALSE
"TZA","L03","kjuUHkF5wTB","1",1,0,FALSE
"TZA","L03","KkYJfxvuWf6","1",0,0,FALSE
"TZA","L03","KyapRja3Pi6","1",0,0,FALSE
"TZA","L03","KYf3aU1imH5","1",0,0,FALSE
"TZA","L03","McAcYh2ZV69","1",0.5,0,FALSE
"TZA","L03","MLdLHWK2Qr","1",0,0,FALSE
"TZA","L03","N5cedWi9F35","1",0,0,FALSE
"TZA","L03","NNkYVQpfzGB","1",0,0,FALSE
"TZA","L03","Nt5ok1nPNM7","1",0,0,FALSE
"TZA","L03","onVKoJG2AfA","1",0,0,FALSE
