"Country","Landscape..","Household.ID","bundles","cost","total_fuelwood_value","hh_annual_nonfuel_nr_value","Nonfuel_NR_decreasing"
"RWA","L03","eSXVTUZDKD3",624,600,374400,0,NA
"RWA","L03","EXzXQD4FSm3",260,600,156000,0,NA
"RWA","L03","fL32p1TYNb8",64,600,38400,0,NA
"RWA","L03","J2FX8wXV8S9",416,600,249600,0,NA
"RWA","L03","kwtgXoW7Ei8",416,600,249600,0,NA
"RWA","L03","oSahYBywkW2",240,600,144000,0,NA
"RWA","L03","rP7DxqhNrW3",312,600,187200,0,NA
"RWA","L03","rQmTKtJ2h92",164,600,98400,0,NA
"RWA","L03","rYhbEL7oXj9",556,600,333600,0,NA
"RWA","L03","s754vJkGDg2",156,600,93600,0,NA
"RWA","L03","SS7UVs5jxa4",192,600,115200,65000,1
"RWA","L03","tmtcp1ke5eB",216,600,129600,0,NA
"RWA","L03","Tt5k1X1aefA",208,600,124800,0,NA
"RWA","L03","TY6c2BvPeq8",312,600,187200,0,NA
"RWA","L03","UVBzkFMeZz9",260,600,156000,0,NA
"RWA","L03","V6SdSqrYbJ7",104,600,62400,0,NA
"RWA","L03","Vh74sMy7UM8",308,600,184800,0,NA
"RWA","L03","vvZZdLufJK3",364,600,218400,0,NA
"RWA","L03","x7bE3Pdy8h5",572,600,343200,0,NA
"RWA","L03","ydvLLQUM1wA",116,600,69600,0,NA
"RWA","L03","YfvDPbb5H85",416,600,249600,0,NA
"RWA","L04","5AjH6QaGU24",64,600,38400,0,NA
"RWA","L04","6vh1fcZWV2A",156,600,93600,0,NA
"RWA","L04","6VtbLtrb1D3",312,600,187200,0,NA
"RWA","L04","AVbrhtAbDP5",100,600,60000,0,NA
"RWA","L04","bdXeZG9z586",360,600,216000,0,NA
"RWA","L04","cuVuG6WmhC5",208,600,124800,0,NA
"RWA","L04","EJpjhf8ixG7",208,600,124800,0,NA
"RWA","L04","fzVneyP9Mg7",192,600,115200,0,1
"RWA","L04","GJymWVjaQVB",52,600,31200,0,NA
"RWA","L04","gtdvY5R76A5",624,600,374400,0,NA
"RWA","L04","hXCHXcG2W46",312,600,187200,0,NA
"RWA","L04","io6UuTdM1Q3",364,600,218400,0,NA
"RWA","L04","iRtxUHTRGi2",312,600,187200,0,NA
"RWA","L04","iV8EbG17vX2",144,600,86400,0,NA
"RWA","L04","jDuNCdZs246",312,600,187200,0,NA
"RWA","L04","jHTSofjuPJ7",260,600,156000,0,NA
"RWA","L04","JM2DWViH8L8",324,600,194400,0,NA
"RWA","L04","jT3NCQFGuW8",192,600,115200,0,NA
"RWA","L04","M8qxpz4tTs2",424,600,254400,0,NA
"RWA","L04","nUikVE2njA5",216,600,129600,0,NA
"RWA","L04","rkEPTagLmF8",116,600,69600,0,NA
"RWA","L04","seXpFZmj3a",376,600,225600,0,NA
"RWA","L04","tzDJcn6PLMB",168,600,100800,0,NA
"RWA","L04","wr5wPxGTis",104,600,62400,0,NA
"RWA","L04","Xcq8cPDrtJA",312,600,187200,0,NA
"RWA","L04","xcxoHDFasQA",104,600,62400,0,NA
"RWA","L04","xRKbT2uWYL4",364,600,218400,0,NA
"RWA","L04","yCPYya5PZfA",72,600,43200,0,NA
"RWA","L04","YR25C1AKLBA",728,600,436800,0,NA
"RWA","L06","3hzQ4hJNWpA",312,600,187200,0,NA
"RWA","L06","5DkfDPaXxW6",980,600,588000,0,NA
"RWA","L06","ACtMM9ksKX9",780,600,468000,4000,0
"RWA","L06","AvkkCXoYrg8",316,600,189600,0,NA
"RWA","L06","BrVjLcZwqr3",624,600,374400,0,NA
"RWA","L06","c2cooWnTEh2",364,600,218400,0,NA
"RWA","L06","CGeuGzTDPV5",572,600,343200,0,NA
"RWA","L06","dVN9QRTY6b4",260,600,156000,0,NA
"RWA","L06","e3YsHqYkYK6",572,600,343200,0,NA
"RWA","L06","fiLpRcMBzoA",416,600,249600,0,NA
