"Country","Landscape","Household_ID","Round","Total_Income","AgIncome","NonAgIncome","AgInvestments"
"GHA","L06","jqEwCxargT5","1",400,400,0,200
"RWA","L06","jQRmJu3n453","1",516200,151200,365000,0
"RWA","L06","jQRmJu3n453","2",444000,444000,0,0
"GHA","L01","jR5EnTkAqM3","1",344,344,0,65
"GHA","L05","JsGWt7k9dz2","1",3882.5,282.5,3600,10
"TZA","L18","JsmhauRP8E9","1",45000,45000,0,0
"UGA","L06","jspz3eC2TW3","1",2274285.8,110000,2164285.8,10500
"UGA","L07","jsuqiyHhZp3","1",1052500,20000,1032500,45000
"GHA","L06","Jsv9PkxATh9","1",13602.8578,770,12832.8578,2681
"GHA","L06","Jsv9PkxATh9","1",13602.8578,770,12832.8578,2681
"RWA","L04","jT3NCQFGuW8","1",148200,28200,120000,10500
"GHA","L05","jVAvmnH4bS6","1",9650,9650,0,76
"RWA","L06","JYjBoTCdte4","1",21000,21000,0,4300
"RWA","L06","JYjBoTCdte4","2",379700,124200,255500,1760
"UGA","L03","K28KewnXpk2","1",8e+05,8e+05,0,14000
"GHA","L03","K5Z7A224KK7","1",1380,180,1200,484
"UGA","L03","k6Z9D2Z16q9","1",2429000,1829000,6e+05,160000
"GHA","L06","K7cFANftUD3","1",5214.286,0,5214.286,96
"UGA","L07","k8Wj9vHnf53","1",1348857.2,306000,1042857.2,105000
"GHA","L01","k8zEL6BmKHB","1",0,0,0,120
"UGA","L06","kAKQZBMLkGA","1",1525000,325000,1200000,64000
"GHA","L04","KaNq8vjzJV5","1",8064,8064,0,487.1
"UGA","L07","kAym5mCCtcB","1",7000,7000,0,30000
"TZA","L19","kDWcVHqaaf2","1",10582000,5782000,4800000,130000
"TZA","L19","KeAxwek3yC4","1",2105000,280000,1825000,0
"RWA","L01","KeSq3y3A1h4","1",493571.442,128500,365071.442,6480
"RWA","L01","KeSq3y3A1h4","2",4800,4800,0,3800
"RWA","L07","Kg7uwpdD4P5","1",276000,20500,255500,10590
"UGA","L06","kJPFgVkrzr8","1",2169500,344500,1825000,120000
"TZA","L03","kjuUHkF5wTB","1",24000,24000,0,26000
"RWA","L06","kKLu4qgLM62","1",260714.3,0,260714.3,3000
"RWA","L06","kKLu4qgLM62","2",163585.72,59300,104285.72,7550
"TZA","L03","KkYJfxvuWf6","1",4e+05,4e+05,0,6000
"GHA","L03","kLYaJ3DYGC7","1",4409,3689,720,562
"GHA","L01","KoKjL6iByr6","1",0,0,0,30
"UGA","L04","Kq42xQGSvu4","1",0,0,0,21400
"TZA","L11","kqzsJGqsJH5","1",2292857.2,1250000,1042857.2,106000
"TZA","L10","KqZvf5fBTQ7","1",34000,34000,0,0
"TZA","L10","kRcrpHwnrk4","1",22500,22500,0,0
"GHA","L01","KSchTBWs2p7","1",4300,580,3720,530
"GHA","L03","Kte7LVWAkq7","1",4060,4060,0,412
"GHA","L03","Kte7LVWAkq7","1",4060,4060,0,412
"TZA","L11","ktUuHHCU1Q5","1",1530000,1110000,420000,30500
"TZA","L18","KWsyirYykp","1",4692857.4,0,4692857.4,15000
"RWA","L03","kwtgXoW7Ei8","1",589000,109000,480000,3000
"RWA","L06","kxErk1sYmQB","1",2271500,339500,1932000,0
"RWA","L06","kxErk1sYmQB","2",1515357.2,472500,1042857.2,6500
"TZA","L03","KyapRja3Pi6","1",7382000,82000,7300000,5000
"TZA","L03","KYf3aU1imH5","1",838000,838000,0,4500
"UGA","L01","kyXkjdQuZSA","1",1882500,610000,1272500,0
"UGA","L03","L3z2GfyVdH5","1",1465428.58,1309000,156428.58,45000
"UGA","L06","L8vM1Pqk5B6","1",180000,180000,0,30000
