"Country","Landscape","Household_ID","Round","size","literate","years","age"
"RWA","L02","xAHNqyKKrL4","1",5,0.4,2,18
"RWA","L02","XrphaE61Jh6","1",3,1,7,36.3333333333333
"RWA","L02","y5bMEWTbk12","1",3,0.666666666666667,4,18
"RWA","L02","z7c7QHaTTe7","1",6,0.666666666666667,3.66666666666667,18.5
"RWA","L02","zxz5fHgxQr4","1",5,0.6,2.6,17.4
"RWA","L03","1aHi48GS6A5","1",7,0.714285714285714,3.85714285714286,17
"RWA","L03","1m6QKguDbp4","1",3,0.666666666666667,3.66666666666667,15
"RWA","L03","29hZgxCQpf4","1",5,0.4,2.6,17.2
"RWA","L03","2tfKupRSSR9","1",7,0.571428571428571,2.28571428571429,15.7142857142857
"RWA","L03","5s4t5icCN2","1",4,0.25,1.75,20.75
"RWA","L03","B8yvkFk2DJ5","1",4,0.5,2.75,33
"RWA","L03","bsDhjVrvZ8B","1",4,0.75,4.5,32.5
"RWA","L03","DRwp2xk3gPB","1",5,0.6,2.8,19
"RWA","L03","DybB4C7m1V6","1",3,0.333333333333333,4,56.3333333333333
"RWA","L03","eSXVTUZDKD3","1",8,0.375,3.125,27.25
"RWA","L03","EXzXQD4FSm3","1",4,0.75,6.75,17.5
"RWA","L03","fL32p1TYNb8","1",5,0.8,5,23
"RWA","L03","J2FX8wXV8S9","1",6,0.833333333333333,3.33333333333333,17.8333333333333
"RWA","L03","kwtgXoW7Ei8","1",6,0.5,2.5,17.8333333333333
"RWA","L03","oSahYBywkW2","1",4,0.25,2.5,21
"RWA","L03","rP7DxqhNrW3","1",7,0.714285714285714,4.85714285714286,25.7142857142857
"RWA","L03","rQmTKtJ2h92","1",6,0.333333333333333,1.16666666666667,18
"RWA","L03","rYhbEL7oXj9","1",6,0.833333333333333,3.66666666666667,22.6666666666667
"RWA","L03","s754vJkGDg2","1",4,1,6.75,40.25
"RWA","L03","SS7UVs5jxa4","1",5,0.4,2.8,21.4
"RWA","L03","tmtcp1ke5eB","1",3,1,11,33.6666666666667
"RWA","L03","Tt5k1X1aefA","1",6,0.333333333333333,2.66666666666667,12.1666666666667
"RWA","L03","TY6c2BvPeq8","1",4,1,9.25,27.25
"RWA","L03","UVBzkFMeZz9","1",6,0.666666666666667,5.5,24.3333333333333
"RWA","L03","V6SdSqrYbJ7","1",3,0.333333333333333,2,14.3333333333333
"RWA","L03","Vh74sMy7UM8","1",9,0.555555555555556,4.44444444444444,27
"RWA","L03","vvZZdLufJK3","1",5,0.8,5.6,30.6
"RWA","L03","x7bE3Pdy8h5","1",7,0.571428571428571,2.71428571428571,17.1428571428571
"RWA","L03","ydvLLQUM1wA","1",4,0,0.5,19
"RWA","L03","YfvDPbb5H85","1",7,0.857142857142857,7.28571428571429,30.8571428571429
"RWA","L04","5AjH6QaGU24","1",8,0.625,3.875,16.5
"RWA","L04","6vh1fcZWV2A","1",5,0.8,3,30.8
"RWA","L04","6VtbLtrb1D3","1",4,0.75,5,41.5
"RWA","L04","AVbrhtAbDP5","1",5,0.6,5.6,29.4
"RWA","L04","bdXeZG9z586","1",7,0.714285714285714,5.14285714285714,27.4285714285714
"RWA","L04","cuVuG6WmhC5","1",7,0.428571428571429,2.42857142857143,18.4285714285714
"RWA","L04","EJpjhf8ixG7","1",2,1,4,47.5
"RWA","L04","fzVneyP9Mg7","1",4,0.5,3,18.5
"RWA","L04","GJymWVjaQVB","1",3,0,0,42
"RWA","L04","gtdvY5R76A5","1",9,0.333333333333333,1.77777777777778,23
"RWA","L04","hXCHXcG2W46","1",5,0.2,1.8,14.4
"RWA","L04","io6UuTdM1Q3","1",6,0.666666666666667,3.66666666666667,28
"RWA","L04","iRtxUHTRGi2","1",8,0.875,8,22.375
"RWA","L04","iV8EbG17vX2","1",7,0.428571428571429,2,14.7142857142857
"RWA","L04","jDuNCdZs246","1",5,0.4,1.4,12.8
"RWA","L04","jHTSofjuPJ7","1",3,0.666666666666667,3.66666666666667,37
"RWA","L04","JM2DWViH8L8","1",3,0.666666666666667,2.66666666666667,36.6666666666667
"RWA","L04","jT3NCQFGuW8","1",7,0.571428571428571,2.85714285714286,25.7142857142857
"RWA","L04","M8qxpz4tTs2","1",8,0,0.875,19.75
"RWA","L04","nUikVE2njA5","1",5,0.8,4.4,19.2
"RWA","L04","rkEPTagLmF8","1",4,1,4.75,20.25
"RWA","L04","seXpFZmj3a","1",6,0.666666666666667,4.16666666666667,24.8333333333333
"RWA","L04","tzDJcn6PLMB","1",7,0.714285714285714,2.71428571428571,15.5714285714286
"RWA","L04","wr5wPxGTis","1",8,0.375,2.625,18.625
"RWA","L04","Xcq8cPDrtJA","1",7,0,0.285714285714286,12.4285714285714
"RWA","L04","xcxoHDFasQA","1",2,1,3,22
"RWA","L04","xRKbT2uWYL4","1",8,1,6.625,24.375
"RWA","L04","yCPYya5PZfA","1",9,0.555555555555556,1.77777777777778,21.4444444444444
"RWA","L04","YDokUMGBos2","1",4,0.25,1.75,18.75
"RWA","L04","YR25C1AKLBA","1",5,0.4,1.8,40.8
"RWA","L06","3hzQ4hJNWpA","1",5,0.8,3.8,18
"RWA","L06","3hzQ4hJNWpA","2",5,0.8,4.2,19.2
"RWA","L06","5DkfDPaXxW6","1",7,0.714285714285714,3.42857142857143,18
"RWA","L06","5DkfDPaXxW6","2",7,0.857142857142857,4.28571428571429,19
"RWA","L06","ACtMM9ksKX9","1",4,0.75,3.75,37.25
"RWA","L06","ACtMM9ksKX9","2",4,1,4.5,38.25
"RWA","L06","AvkkCXoYrg8","1",4,0.5,4,25.25
"RWA","L06","AvkkCXoYrg8","2",5,0.6,3,21.4
"RWA","L06","BrVjLcZwqr3","1",6,0.833333333333333,7.5,22.1666666666667
"RWA","L06","BrVjLcZwqr3","2",6,0.833333333333333,7.66666666666667,23.1666666666667
"RWA","L06","c2cooWnTEh2","1",3,0.666666666666667,8,21
"RWA","L06","c2cooWnTEh2","2",3,0.666666666666667,8,22
"RWA","L06","CGeuGzTDPV5","1",4,0.5,4.5,26.5
"RWA","L06","CGeuGzTDPV5","2",4,0.25,1.75,22
"RWA","L06","dVN9QRTY6b4","1",4,0.5,3.25,17.75
