"survey_uuid","Landscape..","Eplot..","latitude","longitude","Country","biodiversity","eplot_code"
"18b0004e-ed19-43c7-8f79-470df48db4f9","000","061",-1.96735,30.07161,"RWA",0.0277258872223978,"RWA-000-061"
"190564e1-8cb3-4e8e-90bc-c16cc30a8277","000","106",-1.56299,30.27798,"RWA",0,"RWA-000-106"
"190887ef-bb6e-4f0d-bfcb-e8b241893b06","000","317",9.70049,-0.82453,"GHA",0,"GHA-000-317"
"1911553c-2f9f-420b-a63c-9eae1b3e8dca","000","213",0.31007,34.04737,"UGA",0.487975615114201,"UGA-000-213"
"195014f0-7580-4204-8d06-00e8b225ace9","000","125",-6.88665,35.45153,"TZA",1.46966631292868,"TZA-000-125"
"195f86ee-6a4d-4d66-8be1-e5e97b22ad76","000","307",-9.51456,35.13316,"TZA",1.40668172298382,"TZA-000-307"
"19a23595-1705-43fe-9d41-19b867d2c32f","L04","007",-1.27878,29.76206,"UGA",1.23432315398934,"UGA-L04-007"
"19c15277-a92f-4a62-93d8-caee1224a687","L01","006",-2.60202,29.45157,"RWA",0.212952267725546,"RWA-L01-006"
"19e3c206-1885-46fb-9530-5820d9ed57a0","000","165",-2.51063,29.90892,"RWA",0,"RWA-000-165"
"1a1c9b9f-87c5-4e1d-b863-109db4ca5672","000","101",7.35182,0.45468,"GHA",0.388162421113569,"GHA-000-101"
"1a87806d-381e-4055-ba70-f815031e0162","000","196",0.81836,33.14409,"UGA",1.93878454315718,"UGA-000-196"
"1aa509ba-4444-46ff-bd0a-6528da69fa3b","000","326",-7.25264,37.0933,"TZA",0,"TZA-000-326"
"1ace1355-4db2-43d7-8172-4ada22e08c03","000","050",-1.83887,30.30188,"RWA",0,"RWA-000-050"
"1ade14e9-af8e-4c18-a136-7cc401ca9547","L04","007",6.58502,-1.53344,"GHA",1.00646922451128,"GHA-L04-007"
"1b220884-9eaf-4e33-9586-49a341122cd6","000","223",-6.40322,38.30596,"TZA",0.797238831719701,"TZA-000-223"
"1b3916bc-f7ff-411b-913b-fdc56e91aff2","L04","002",-1.21999,29.75879,"UGA",0,"UGA-L04-002"
